train_type,神戸発,元町発,三ノ宮発,灘発,摩耶発,六甲道発,住吉発,摂津本山発,甲南山手発,芦屋着,芦屋発,さくら夙川発,西宮発,甲子園口発,立花発,尼崎着,尼崎発,塚本発,大阪着,大阪発,新大阪着,新大阪発,東淀川発,吹田発,岸辺発,千里丘発,茨木発
新快速,15:03,,15:07,,,,,,,15:15,15:15,,,,,15:22,15:23,,15:28,15:30,15:34,15:35,,,,,
普通,14:44,14:47,14:49,14:51,14:53,14:55,14:58,15:00,15:02,15:04,15:08,15:10,15:12,15:15,15:18,15:21,15:24,,,,,,,,,,
普通,,,,,,,,,,,,,,,,15:22,15:22,15:26,15:29,15:32,15:35,15:36,15:37,15:41,15:43,15:46,15:49
快速,15:05,15:07,15:10,,,15:14,15:17,,,15:21,15:21,,15:25,,,15:30,15:31,,15:37,15:38,15:42,15:43,,,,,15:52
普通,14:53,14:56,14:58,15:01,15:02,15:04,15:07,15:09,15:11,15:13,15:14,15:16,15:18,15:21,15:24,15:26,15:28,15:32,15:35,15:40,15:44,15:45,15:46,15:50,15:52,15:55,15:57
新快速,15:18,,15:22,,,,,,,15:30,15:30,,,,,15:37,15:38,,15:43,15:45,15:49,15:50,,,,,
普通,14:59,15:02,15:04,15:06,15:08,15:10,15:13,15:15,15:17,15:19,15:23,15:25,15:27,15:30,15:33,15:36,15:39,,,,,,,,,,
普通,,,,,,,,,,,,,,,,15:36,15:37,15:41,15:44,15:47,15:50,15:51,15:52,15:56,15:58,16:01,16:04
快速,15:20,15:22,15:25,,,15:29,15:32,,,15:36,15:36,,15:40,,,15:45,15:46,,15:52,15:53,15:57,15:58,,,,,16:07
普通,15:08,15:11,15:13,15:16,15:17,15:19,15:22,15:24,15:26,15:28,15:29,15:31,15:33,15:36,15:39,15:41,15:43,15:47,15:50,15:55,15:59,16:00,16:01,16:05,16:07,16:10,16:12
新快速,15:33,,15:37,,,,,,,15:45,15:45,,,,,15:52,15:53,,15:58,16:00,16:04,16:05,,,,,
普通,15:14,15:17,15:19,15:21,15:23,15:25,15:28,15:30,15:32,15:34,15:38,15:40,15:42,15:45,15:48,15:51,15:54,,,,,,,,,,
普通,,,,,,,,,,,,,,,,15:51,15:52,15:56,15:59,16:02,16:05,16:06,16:08,16:11,16:14,16:16,16:19
快速,15:34,15:37,15:39,,,15:44,15:46,,,15:50,15:51,,15:55,,,16:00,16:01,,16:07,16:08,16:12,16:13,,,,,16:22
普通,15:23,15:26,15:28,15:31,15:32,15:34,15:37,15:39,15:41,15:43,15:44,15:46,15:48,15:51,15:54,15:56,15:58,16:01,16:05,16:10,16:14,16:15,16:17,16:20,16:23,16:25,16:28
新快速,15:47,,15:52,,,,,,,16:00,16:00,,,,,16:07,16:08,,16:13,16:15,16:19,16:20,,,,,
普通,15:28,15:31,15:33,15:35,15:37,15:39,15:42,15:44,15:46,15:48,15:53,15:56,15:58,16:00,16:03,16:06,16:09,,,,,,,,,,
普通,,,,,,,,,,,,,,,,16:06,16:07,16:11,16:14,16:17,16:20,16:21,16:23,16:26,16:29,16:31,16:34
快速,15:49,15:52,15:54,,,15:59,16:01,,,16:05,16:06,,16:10,,,16:15,16:16,,16:22,16:23,16:27,16:28,,,,,16:37
普通,15:38,15:40,15:43,15:45,15:47,15:49,15:52,15:54,15:56,15:58,15:59,16:01,16:03,16:06,16:09,16:11,16:13,16:16,16:20,16:25,16:29,16:30,16:32,16:35,16:38,16:40,16:43
新快速,16:02,,16:07,,,,,,,16:15,16:15,,,,,16:22,16:23,,16:28,16:30,16:34,16:35,,,,,
普通,15:43,15:46,15:48,15:50,15:52,15:54,15:57,15:59,16:01,16:03,16:08,16:11,16:13,16:15,16:18,16:21,16:24,,,,,,,,,,
普通,,,,,,,,,,,,,,,,16:22,16:22,16:26,16:29,16:32,16:35,16:36,16:38,16:41,16:44,16:46,16:49
