train_type,茨木発,千里丘発,岸辺発,吹田発,東淀川発,新大阪着,新大阪発,大阪着,大阪発,塚本発,尼崎着,尼崎発,立花発,甲子園口発,西宮発,さくら夙川発,芦屋着,芦屋発,甲南山手発,摂津本山発,住吉発,六甲道発,摩耶発,灘発,三ノ宮発,元町発,神戸発
普通,,,,,,,,,5:00,5:03,5:07,5:07,5:10,5:13,5:15,5:18,5:20,5:20,5:22,5:24,5:27,5:29,5:31,5:33,5:36,5:38,5:40
普通,5:06,5:09,5:11,5:14,5:17,5:18,5:19,5:23,5:24,5:28,5:31,5:32,5:35,5:37,5:40,5:42,5:44,5:45,5:47,5:49,5:51,5:54,5:56,5:57,6:01,6:02,6:05
普通,5:16,5:19,5:21,5:24,5:27,5:28,5:29,5:33,5:36,5:39,5:43,5:43,5:46,5:49,5:51,5:53,5:56,5:56,5:58,6:00,6:02,6:05,6:07,6:09,6:12,6:14,6:16
普通,5:24,5:27,5:30,5:32,5:35,5:37,5:37,5:41,5:43,5:46,5:50,5:50,5:53,5:56,5:58,6:01,6:03,6:03,6:05,6:07,6:10,6:12,6:14,6:16,6:19,6:21,6:23
普通,5:32,5:35,5:37,5:40,5:43,5:45,5:45,5:49,5:51,5:54,5:58,5:58,6:01,6:04,6:06,6:08,6:11,6:15,6:17,6:19,6:21,6:24,6:26,6:28,6:31,6:33,6:35
快速,5:43,,,,,5:52,5:52,5:56,5:58,,6:04,6:04,,,6:10,,6:13,6:13,,,6:17,6:20,,,6:25,6:27,6:29
普通,5:37,5:40,5:42,5:45,5:48,5:50,5:50,5:54,6:01,6:04,6:07,6:08,6:11,6:14,6:16,6:18,6:21,6:21,6:23,6:25,6:28,6:30,6:32,6:34,6:37,6:39,6:41
普通,5:47,5:50,5:52,5:55,5:58,6:00,6:00,6:04,6:07,6:10,6:14,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,6:13,6:15,6:18,6:21,6:24,6:26,6:28,6:28,6:31,6:33,6:35,6:38,6:40,6:42,6:45,6:47,6:49
普通,5:55,5:58,6:00,6:03,6:06,6:07,6:08,6:12,6:13,6:17,6:20,6:21,6:24,6:27,6:30,6:32,6:34,6:38,6:40,6:42,6:45,6:48,6:50,6:52,6:55,6:57,6:59
快速,6:05,,,,,6:14,6:15,6:19,6:21,,6:26,6:27,,,6:32,,6:36,6:37,,,6:41,6:44,,,6:49,6:51,6:54
普通,,,,,,,,,6:22,6:26,6:29,6:30,6:33,6:36,6:38,6:40,6:43,6:43,6:45,6:48,6:50,6:53,6:55,6:57,7:00,7:02,7:05
普通,6:09,6:12,6:14,6:17,6:20,6:21,6:22,6:26,6:27,6:31,6:34,6:35,6:38,6:41,6:43,6:45,6:48,6:48,6:50,6:53,6:55,6:58,7:00,7:02,7:05,7:07,7:10
普通,,,,6:22,6:25,6:27,6:27,6:31,6:33,6:36,6:40,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,6:38,6:41,6:44,6:47,6:50,6:52,6:54,6:55,6:57,6:59,7:01,7:04,7:06,7:08,7:11,7:13,7:16
普通,6:22,6:25,6:27,6:30,6:33,6:34,6:35,6:39,6:41,6:44,6:48,6:48,6:51,6:54,6:57,6:59,7:03,7:03,7:05,7:08,7:10,7:13,7:15,7:17,7:20,7:22,7:24
快速,6:30,,,,,6:37,6:38,6:42,6:44,,6:49,6:50,,,6:56,,6:59,7:00,,,7:05,7:08,,,7:14,7:16,7:19
普通,,,,,,,,,,,6:52,6:53,6:56,6:59,7:02,7:04,7:06,7:07,7:09,7:11,7:14,7:16,7:19,7:20,7:24,7:26,7:28
新快速,,,,,,,,,6:50,,6:55,6:56,,,,,7:03,7:04,,,,,,,7:13,,7:16
普通,6:33,6:36,6:38,6:41,6:44,6:45,6:46,6:50,6:52,6:55,6:58,6:59,7:02,7:05,7:07,7:10,7:12,7:15,7:17,7:19,7:22,7:24,7:27,7:28,7:32,7:34,7:36
快速,6:42,,,,,6:49,6:50,6:54,6:56,,7:01,7:02,,,7:08,,7:11,7:13,,,7:18,7:21,,,7:27,7:29,7:32
普通,6:41,6:44,6:46,6:49,6:53,6:54,6:55,6:59,7:01,7:05,7:09,,,,,,,,,,,,,,,,
普通,,,,,,,,,,,7:08,7:10,7:13,7:16,7:18,7:20,7:23,7:26,7:28,7:30,7:33,7:35,7:38,7:39,7:43,7:45,7:47
新快速,,,,,,6:57,6:58,7:02,7:05,,7:11,7:12,,,,,7:19,7:20,,,,,,,7:30,,7:34
快速,6:54,,,,,7:02,7:03,7:07,7:08,,7:14,7:14,,,7:20,,7:24,7:24,,,7:29,7:32,,,7:37,7:39,7:41
普通,6:48,6:51,6:54,6:57,7:01,7:02,7:03,7:07,7:08,7:12,7:15,7:17,7:20,7:22,7:25,7:27,7:30,7:30,7:32,7:34,7:37,7:40,7:42,7:44,7:47,7:49,7:51
普通,6:56,6:59,7:02,7:05,7:08,7:10,7:10,7:14,7:16,7:19,7:23,7:23,7:27,7:29,7:32,7:34,7:37,7:40,7:42,7:44,7:46,7:49,7:51,7:53,7:56,7:58,8:01
快速,7:08,,,,,7:16,7:16,7:20,7:22,,7:27,7:28,,,7:34,,7:38,7:38,,,7:43,7:46,,,7:51,7:53,7:56
